job	seqlen	epochs	lrate	dropout	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	batchsize	complete	distinct
5848	7	20	0.00011	0.05	"(""16:52:26"", ""18:42:41"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7036770921386306	[0.9438715131022823, 0.9459002535925612, 0.9448013524936602, 0.9461115807269653, 0.9469568892645815, 0.9451817413355875, 0.9402366863905326]
5849	7	20	0.00011999999999999999	0.05	"(""16:52:27"", ""18:44:13"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7088757396449704	[0.947295012679628, 0.9483093829247675, 0.9466610312764159, 0.94687235841082, 0.9472104818258664, 0.9453930684699915, 0.941927303465765]
5850	7	20	0.00013000000000000002	0.05	"(""16:52:26"", ""18:42:56"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.715004226542688	[0.9473372781065089, 0.949323753169907, 0.947971259509721, 0.9472104818258664, 0.9481403212172443, 0.9475908706677938, 0.9469146238377008]
5851	7	20	0.00014	0.05	"(""16:52:26"", ""18:44:57"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7174133558748943	[0.9483516483516483, 0.9486052409129332, 0.949788672865596, 0.9489010989010989, 0.9486897717666949, 0.9496196111580727, 0.9457734573119189]
5852	7	20	0.00015	0.05	"(""16:52:27"", ""18:44:02"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7149196956889264	[0.9483516483516483, 0.950211327134404, 0.9489010989010989, 0.9482248520710059, 0.9475063398140321, 0.9480980557903634, 0.9441251056635672]
5853	7	20	0.00016	0.05	"(""16:52:26"", ""18:44:49"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7198647506339814	[0.947295012679628, 0.9483093829247675, 0.9478867286559595, 0.9484784446322908, 0.9502958579881656, 0.9505917159763314, 0.9460693153000845]
5854	7	20	0.00016999999999999999	0.05	"(""16:52:27"", ""18:43:30"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7245562130177515	[0.95, 0.952451394759087, 0.9502535925612848, 0.9504649196956889, 0.9510143702451395, 0.9495773457311919, 0.9457311918850381]
5855	7	20	0.00018	0.05	"(""16:52:27"", ""18:44:52"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7327557058326291	[0.9500422654268809, 0.952916314454776, 0.9518174133558749, 0.9521132713440406, 0.9531276415891801, 0.9506339814032122, 0.9486897717666949]
5856	7	20	0.00018999999999999998	0.05	"(""16:52:26"", ""18:43:31"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.722865595942519	[0.9485207100591716, 0.951141166525782, 0.9489010989010989, 0.94843617920541, 0.9501267962806424, 0.9508030431107354, 0.9469146238377008]
5857	7	20	0.0002	0.05	"(""18:34:25"", ""20:26:58"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7250633981403212	[0.9491546914623837, 0.9521555367709214, 0.9502535925612848, 0.9494082840236686, 0.95, 0.9502535925612848, 0.9469991546914623]
5858	7	20	0.00021	0.05	"(""18:34:26"", ""20:26:08"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7252747252747253	[0.9491546914623837, 0.9508875739644971, 0.9494928148774303, 0.9499577345731192, 0.9505071851225697, 0.950211327134404, 0.948647506339814]
5859	7	20	0.00022	0.05	"(""18:42:56"", ""20:33:21"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7296703296703296	[0.9488588334742181, 0.9523668639053254, 0.9510143702451395, 0.9504649196956889, 0.9507185122569738, 0.952451394759087, 0.9486052409129332]
5860	7	20	0.00022999999999999998	0.05	"(""18:43:25"", ""20:33:59"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7363482671174979	[0.9510566356720203, 0.9538461538461539, 0.9528317836010144, 0.9513102282333051, 0.9521132713440406, 0.9521132713440406, 0.9491546914623837]
5861	7	20	0.00023999999999999998	0.05	"(""18:44:25"", ""20:35:59"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7272612003381235	[0.9491969568892645, 0.9506339814032122, 0.9493660185967878, 0.9503381234150465, 0.9510143702451395, 0.9514370245139476, 0.9489010989010989]
5862	7	20	0.00025	0.05	"(""18:43:57"", ""20:34:43"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7368554522400677	[0.9519864750633982, 0.9532967032967034, 0.9521978021978021, 0.9531276415891801, 0.9537616229923922, 0.9525359256128487, 0.9488588334742181]
5920	7	20	0.00021	0.07	"(""21:52:26"", ""23:44:20"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7318681318681318	[0.9496196111580727, 0.9532967032967034, 0.9535080304311073, 0.9505071851225697, 0.9505071851225697, 0.9531699070160609, 0.9480980557903634]
5921	7	20	0.00021	0.09	"(""21:52:28"", ""23:43:18"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7359256128486897	[0.9503381234150465, 0.9545224006762468, 0.9521555367709214, 0.9517751479289941, 0.9526627218934911, 0.9530008453085376, 0.9499577345731192]
5922	7	20	0.00021	0.11	"(""21:52:28"", ""23:44:50"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7377430262045647	[0.9515215553677092, 0.9536770921386306, 0.952451394759087, 0.9532121724429417, 0.9532967032967034, 0.9533812341504649, 0.949788672865596]
5923	7	20	0.00021	0.13	"(""21:52:26"", ""23:43:13"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7358833474218089	[0.9523668639053254, 0.9535080304311073, 0.9523668639053254, 0.9518174133558749, 0.9514792899408284, 0.9519864750633982, 0.9487320371935757]
5924	7	20	0.00022	0.07	"(""21:52:26"", ""23:44:52"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7399408284023669	[0.9507607776838546, 0.9540152155536771, 0.9533812341504649, 0.9533389687235841, 0.9531276415891801, 0.9540152155536771, 0.9509298393913779]
5925	7	20	0.00022	0.09	"(""21:52:28"", ""23:44:26"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7384192730346576	[0.9509721048182587, 0.9547759932375317, 0.954268808114962, 0.9525781910397295, 0.9535502958579881, 0.9538461538461539, 0.9508030431107354]
5926	7	20	0.00022	0.11	"(""21:52:28"", ""23:45:11"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7395181741335588	[0.9521555367709214, 0.9536348267117498, 0.9529585798816568, 0.9520710059171598, 0.9528317836010144, 0.9531699070160609, 0.9513524936601859]
5927	7	20	0.00022	0.13	"(""21:52:26"", ""23:44:18"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7395181741335588	[0.9519864750633982, 0.9531699070160609, 0.9531276415891801, 0.9522823330515638, 0.9535502958579881, 0.9537616229923922, 0.9516060862214708]
5928	7	20	0.00022999999999999998	0.07	"(""21:52:26"", ""23:45:05"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7324598478444633	[0.950211327134404, 0.9532967032967034, 0.9524936601859679, 0.9523668639053254, 0.9523245984784446, 0.9509298393913779, 0.9478444632290786]
5929	7	20	0.00022999999999999998	0.09	"(""21:52:27"", ""23:43:20"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7409551986475064	[0.9520710059171598, 0.9556213017751479, 0.953803888419273, 0.9536770921386306, 0.9543533389687235, 0.9541420118343196, 0.9516060862214708]
5930	7	20	0.00022999999999999998	0.11	"(""21:52:26"", ""23:45:09"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7396449704142012	[0.9515215553677092, 0.9546914623837701, 0.9530431107354185, 0.9520710059171598, 0.9535080304311073, 0.9526204564666103, 0.9507607776838546]
5931	7	20	0.00022999999999999998	0.13	"(""21:52:28"", ""23:43:27"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.73698224852071	[0.9516060862214708, 0.9532544378698224, 0.952916314454776, 0.953803888419273, 0.9543956043956044, 0.9541842772612004, 0.9517751479289941]
5932	7	20	0.00023999999999999998	0.07	"(""23:43:25"", ""01:34:17"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7382079459002536	[0.9512679628064243, 0.9548182586644125, 0.9534234995773457, 0.9527895181741336, 0.9530431107354185, 0.9519442096365174, 0.9504226542688081]
5933	7	20	0.00023999999999999998	0.09	"(""23:43:25"", ""01:33:58"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.737869822485207	[0.9513947590870668, 0.954480135249366, 0.9533812341504649, 0.9523245984784446, 0.9525359256128487, 0.9528317836010144, 0.949788672865596]
5934	7	20	0.00023999999999999998	0.11	"(""23:43:25"", ""01:34:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7420963651732883	[0.9516060862214708, 0.9545224006762468, 0.9532967032967034, 0.9539729501267963, 0.9542265426880812, 0.95156382079459, 0.9505071851225697]
5935	7	20	0.00023999999999999998	0.13	"(""23:43:55"", ""01:34:56"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7387996618765849	[0.9519019442096365, 0.9539729501267963, 0.9535080304311073, 0.9523245984784446, 0.9545224006762468, 0.9531276415891801, 0.9504226542688081]
5936	7	20	0.00025	0.07	"(""23:44:25"", ""01:36:34"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7408284023668639	[0.9531276415891801, 0.9537193575655114, 0.9540152155536771, 0.9518596787827557, 0.9528740490278952, 0.9539306846999155, 0.9513102282333051]
5937	7	20	0.00025	0.09	"(""23:44:25"", ""01:36:02"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7415891800507185	[0.9538884192730347, 0.9539729501267963, 0.9545646661031276, 0.9533389687235841, 0.9536770921386306, 0.9543110735418427, 0.951141166525782]
5938	7	20	0.00025	0.11	"(""23:44:56"", ""01:36:48"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7420963651732883	[0.9526204564666103, 0.9554099746407438, 0.954268808114962, 0.9536348267117498, 0.9540152155536771, 0.9516060862214708, 0.9505917159763314]
5939	7	20	0.00025	0.13	"(""23:45:25"", ""01:38:14"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7423499577345731	[0.9524091293322062, 0.9549873203719358, 0.9532544378698224, 0.953592561284869, 0.9531699070160609, 0.9521978021978021, 0.9499577345731192]
5951	7	20	0.0001	0.0	"(""10:44:11"", ""12:33:10"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5957734573119189	[0.9251901944209636, 0.9205409974640744, 0.918385460693153, 0.9175401521555367, 0.9172865595942519, 0.9161876584953508, 0.9120456466610313]
5952	7	20	0.00011	0.0	"(""10:44:14"", ""12:32:08"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6019442096365173	[0.9271344040574809, 0.9278529163144548, 0.9243026204564666, 0.9189771766694843, 0.9128486897717667, 0.9114116652578191, 0.9123837700760777]
5953	7	20	0.00011999999999999999	0.0	"(""10:44:14"", ""12:34:03"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6114539306846999	[0.9293322062552832, 0.9293322062552832, 0.9267540152155537, 0.9218934911242603, 0.9198224852071006, 0.9194843617920541, 0.9137785291631445]
5954	7	20	0.00013000000000000002	0.0	"(""10:44:15"", ""12:32:26"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6039306846999155	[0.9224429416737109, 0.9234150464919696, 0.9234995773457312, 0.9232459847844463, 0.9205832628909552, 0.9203296703296703, 0.9149196956889265]
5955	7	20	0.00014	0.0	"(""10:44:18"", ""12:34:11"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6027472527472527	[0.9247252747252748, 0.9267962806424345, 0.9245984784446323, 0.9209636517328825, 0.9193998309382925, 0.9166525781910397, 0.9139898562975486]
5956	7	20	0.00015	0.0	"(""10:44:17"", ""12:33:37"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6293744716821639	[0.9333474218089602, 0.9325866441251056, 0.9277261200338124, 0.9288250211327135, 0.9278529163144548, 0.9245139475908707, 0.9153000845308538]
5957	7	20	0.00016	0.0	"(""10:44:17"", ""12:34:47"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6308537616229923	[0.933389687235841, 0.93385460693153, 0.9287827557058326, 0.929374471682164, 0.9286136939983094, 0.9258241758241759, 0.9180896027049873]
5958	7	20	0.00016999999999999999	0.0	"(""10:44:20"", ""12:33:30"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.63541842772612	[0.9319103972950127, 0.9305579036348267, 0.9291208791208792, 0.9290363482671175, 0.9284023668639053, 0.9289518174133559, 0.9232459847844463]
5959	7	20	0.00018	0.0	"(""10:44:20"", ""12:34:46"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6366441251056636	[0.9373626373626374, 0.9352493660185968, 0.9346576500422654, 0.933389687235841, 0.9280219780219781, 0.9238799661876584, 0.9148351648351648]
5960	7	20	0.00018999999999999998	0.0	"(""10:44:21"", ""12:33:10"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6480557903634827	[0.9377007607776838, 0.9330092983939138, 0.9297971259509721, 0.9320371935756551, 0.9330092983939138, 0.9306424344885883, 0.9257396449704142]
5961	7	20	0.0002	0.0	"(""10:44:25"", ""12:34:48"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6570583262890956	[0.9386728655959425, 0.9367286559594252, 0.93385460693153, 0.9337700760777684, 0.9365595942519019, 0.9367286559594252, 0.9275993237531699]
5962	7	20	0.00021	0.0	"(""10:44:24"", ""12:33:16"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6451394759087067	[0.9379966187658495, 0.935207100591716, 0.9282755705832629, 0.927345731191885, 0.9301775147928995, 0.9294590025359256, 0.9212595097210482]
5963	7	20	0.00022	0.0	"(""12:32:11"", ""14:20:16"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6598901098901099	[0.9368554522400676, 0.9382079459002536, 0.9385883347421808, 0.9358410819949281, 0.9334742180896027, 0.9324598478444632, 0.9293322062552832]
5964	7	20	0.00022999999999999998	0.0	"(""12:32:29"", ""14:20:38"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6526204564666103	[0.9321217244294168, 0.934319526627219, 0.9355452240067624, 0.9371935756551141, 0.9363482671174979, 0.9352493660185968, 0.9256128486897718]
5965	7	20	0.00023999999999999998	0.0	"(""12:33:12"", ""14:22:30"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6657650042265427	[0.9393913778529163, 0.9411242603550296, 0.9368977176669484, 0.9357142857142857, 0.9362214708368555, 0.935883347421809, 0.9317836010143703]
5966	7	20	0.00025	0.0	"(""12:33:13"", ""14:22:07"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6693153000845309	[0.9395604395604396, 0.9393913778529163, 0.9389687235841082, 0.9375739644970414, 0.9367286559594252, 0.9360524091293322, 0.9297971259509721]
5967	7	20	0.00026000000000000003	0.0	"(""12:33:19"", ""14:21:41"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6679205409974641	[0.9407016060862214, 0.9425612848689772, 0.9367286559594252, 0.9374894336432797, 0.9349112426035503, 0.9328402366863905, 0.9299661876584954]
5968	7	20	0.00027	0.0	"(""12:33:33"", ""14:22:44"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6661876584953508	[0.9379543533389687, 0.9397717666948436, 0.9353338968723585, 0.9346576500422654, 0.9371935756551141, 0.9362214708368555, 0.93072696534235]
5969	7	20	0.00028	0.0	"(""12:33:40"", ""14:22:51"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6765004226542688	[0.9385038038884193, 0.9405325443786983, 0.9394336432797972, 0.9401944209636517, 0.9388841927303466, 0.9361792054099747, 0.9342772612003382]
5970	7	20	0.00029	0.0	"(""12:34:06"", ""14:23:32"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6759509721048182	[0.939010989010989, 0.9423076923076923, 0.9397295012679628, 0.9395604395604396, 0.9382079459002536, 0.9367286559594252, 0.9310228233305157]
5971	7	20	0.0003	0.0	"(""12:34:14"", ""14:24:20"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6545646661031277	[0.9378698224852071, 0.9377007607776838, 0.9344463229078613, 0.9332206255283179, 0.9330092983939138, 0.930938292476754, 0.9240067624683009]
5982	7	20	0.00026000000000000003	0.05	"(""14:35:41"", ""16:28:11"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7253169907016059	[0.9495773457311919, 0.95156382079459, 0.9502535925612848, 0.9498309382924768, 0.9501267962806424, 0.9505071851225697, 0.947295012679628]
5983	7	20	0.00026000000000000003	0.1	"(""14:35:44"", ""16:26:07"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7377007607776839	[0.951098901098901, 0.9533389687235841, 0.9525781910397295, 0.9518174133558749, 0.9520710059171598, 0.9540997464074387, 0.9510566356720203]
5984	7	20	0.00026000000000000003	0.15	"(""14:35:45"", ""16:27:56"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7407016060862215	[0.9532121724429417, 0.9546069315300084, 0.9539306846999155, 0.9539306846999155, 0.9525359256128487, 0.9533389687235841, 0.9505917159763314]
5985	7	20	0.00026000000000000003	0.2	"(""14:35:44"", ""16:26:35"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7233305156382079	[0.9496618765849535, 0.9516483516483516, 0.9499154691462384, 0.9497041420118343, 0.9500422654268809, 0.9502958579881656, 0.9474640743871513]
5986	7	20	0.00026000000000000003	0.3	"(""14:35:47"", ""16:28:06"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6850803043110736	[0.939687235841082, 0.9420963651732882, 0.9401098901098901, 0.9391377852916315, 0.9424767540152156, 0.942814877430262, 0.9396027049873203]
5987	7	20	0.00026000000000000003	0.4	"(""14:35:48"", ""16:27:41"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5983093829247675	[0.9230346576500422, 0.9210059171597633, 0.9208791208791208, 0.9211749788672866, 0.9221048182586644, 0.9203719357565512, 0.9162721893491125]
5988	7	20	0.00026000000000000003	0.5	"(""14:35:47"", ""16:27:49"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4297548605240913	[0.8752747252747253, 0.8759932375316991, 0.8756128486897717, 0.872865595942519, 0.874218089602705, 0.8743448858833475, 0.8677514792899408]
5989	7	20	0.00027	0.05	"(""14:35:50"", ""16:27:29"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7231191885038039	[0.9477176669484362, 0.9500422654268809, 0.9500422654268809, 0.9488165680473373, 0.9503381234150465, 0.9502958579881656, 0.9462383770076078]
5990	7	20	0.00027	0.1	"(""14:35:50"", ""16:28:21"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7361369399830938	[0.9516906170752325, 0.9532544378698224, 0.9534234995773457, 0.9529585798816568, 0.9521132713440406, 0.9521555367709214, 0.9491969568892645]
5991	7	20	0.00027	0.15	"(""14:35:51"", ""16:26:52"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7446322907861369	[0.9525359256128487, 0.9560439560439561, 0.9540997464074387, 0.9546491969568892, 0.9548605240912933, 0.954480135249366, 0.9511834319526628]
5992	7	20	0.00027	0.2	"(""14:35:53"", ""16:28:24"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7256973795435334	[0.9476331360946746, 0.9506339814032122, 0.9502535925612848, 0.9500422654268809, 0.9507607776838546, 0.9509721048182587, 0.9480135249366018]
5994	7	20	0.00027	0.4	"(""15:28:04"", ""17:19:01"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6032544378698225	[0.9233305156382079, 0.9233305156382079, 0.9224006762468301, 0.9208791208791208, 0.9229078613693998, 0.9230769230769231, 0.9191039729501268]
5995	7	20	0.00027	0.5	"(""16:26:11"", ""18:16:14"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4496618765849535	[0.8760777683854607, 0.8795012679628065, 0.8784023668639053, 0.8787404902789518, 0.8804311073541843, 0.8804733727810651, 0.8747252747252747]
5996	7	20	0.00028	0.05	"(""16:26:39"", ""18:17:10"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7248520710059172	[0.9491546914623837, 0.9511834319526628, 0.9494928148774303, 0.9495350803043111, 0.9517751479289941, 0.9505071851225697, 0.945519864750634]
5997	7	20	0.00028	0.1	"(""16:26:55"", ""18:17:44"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7435756551141166	[0.9513524936601859, 0.9548182586644125, 0.953592561284869, 0.9534234995773457, 0.9547759932375317, 0.9553254437869823, 0.952451394759087]
5998	7	20	0.00028	0.15	"(""16:27:32"", ""18:19:04"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7421808960270498	[0.9527049873203719, 0.9545224006762468, 0.9532544378698224, 0.9537616229923922, 0.9547337278106509, 0.9545646661031276, 0.9510143702451395]
5999	7	20	0.00028	0.2	"(""16:27:44"", ""18:19:30"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7203719357565511	[0.9483939137785292, 0.9507607776838546, 0.9485629754860524, 0.9487320371935757, 0.9505917159763314, 0.9498732037193576, 0.9472527472527472]
6000	7	20	0.00028	0.3	"(""16:27:52"", ""18:20:17"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.682079459002536	[0.9399408284023668, 0.942603550295858, 0.9396449704142011, 0.9397295012679628, 0.9404902789518174, 0.9408284023668639, 0.939475908706678]
6001	7	20	0.00028	0.4	"(""16:27:59"", ""18:19:49"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6065511411665258	[0.9248520710059172, 0.9224006762468301, 0.9212172442941674, 0.9222316145393068, 0.9237109044801353, 0.922865595942519, 0.9180896027049873]
6002	7	20	0.00028	0.5	"(""16:28:10"", ""18:20:19"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4556635672020287	[0.884065934065934, 0.8834319526627219, 0.8798393913778529, 0.8794590025359256, 0.881614539306847, 0.8815722738799662, 0.8755283178360102]
6003	7	20	0.00029	0.05	"(""16:28:15"", ""18:20:37"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7153846153846154	[0.9471682163989856, 0.9488165680473373, 0.9471682163989856, 0.9489010989010989, 0.9498309382924768, 0.9491124260355029, 0.9451394759087067]
6004	7	20	0.00029	0.1	"(""16:28:24"", ""18:20:44"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7368977176669484	[0.950211327134404, 0.9536348267117498, 0.952916314454776, 0.9527472527472527, 0.9532967032967034, 0.9532121724429417, 0.9494928148774303]
6005	7	20	0.00029	0.15	"(""16:28:27"", ""18:20:57"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7415891800507185	[0.9512679628064243, 0.954945054945055, 0.9549027895181741, 0.9534234995773457, 0.9541420118343196, 0.9537616229923922, 0.9501267962806424]
6006	7	20	0.00029	0.2	"(""17:19:03"", ""19:10:02"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7295012679628065	[0.95, 0.9519442096365174, 0.951098901098901, 0.9508030431107354, 0.9513947590870668, 0.9517751479289941, 0.9491124260355029]
6007	7	20	0.00029	0.3	"(""18:16:17"", ""20:06:40"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6825866441251056	[0.939687235841082, 0.9412087912087912, 0.9407438715131022, 0.9407861369399831, 0.9413355874894337, 0.941715976331361, 0.9389687235841082]
6008	7	20	0.00029	0.4	"(""18:17:13"", ""20:07:43"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6050295857988166	[0.9233727810650888, 0.9237109044801353, 0.9224429416737109, 0.9226965342349958, 0.9218512256973795, 0.9234995773457312, 0.9196534234995773]
6009	7	20	0.00029	0.5	"(""18:17:47"", ""20:08:17"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4577345731191885	[0.8787404902789518, 0.8832628909551986, 0.8813609467455621, 0.8814454775993238, 0.8825443786982249, 0.8826711749788673, 0.8741758241758242]
6010	7	20	0.0003	0.05	"(""18:19:07"", ""20:10:44"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7273879966187659	[0.949788672865596, 0.9531276415891801, 0.9525781910397295, 0.95156382079459, 0.9500845308537617, 0.9501690617075232, 0.9475063398140321]
6011	7	20	0.0003	0.1	"(""18:19:33"", ""20:10:59"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7384615384615385	[0.9527472527472527, 0.9527895181741336, 0.952028740490279, 0.9520710059171598, 0.9522823330515638, 0.9536770921386306, 0.9495350803043111]
6012	7	20	0.0003	0.15	"(""18:19:52"", ""20:11:37"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7396027049873204	[0.9527472527472527, 0.955156382079459, 0.9530431107354185, 0.9526627218934911, 0.9525781910397295, 0.9526204564666103, 0.9503381234150465]
6013	7	20	0.0003	0.2	"(""18:20:20"", ""20:13:13"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7290786136939983	[0.9499154691462384, 0.9516906170752325, 0.9507185122569738, 0.9508453085376163, 0.950676246830093, 0.9509298393913779, 0.9492392223161454]
6014	7	20	0.0003	0.3	"(""18:20:22"", ""20:12:27"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.6863482671174979	[0.9418005071851225, 0.9423922231614539, 0.9403212172442942, 0.9404902789518174, 0.9415891800507186, 0.941715976331361, 0.9388841927303466]
6015	7	20	0.0003	0.4	"(""18:20:39"", ""20:12:23"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.5993660185967878	[0.9215553677092139, 0.9227810650887573, 0.9201183431952663, 0.9204987320371936, 0.9209636517328825, 0.9219357565511411, 0.9186390532544378]
6016	7	20	0.0003	0.5	"(""18:20:47"", ""20:12:41"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.4525359256128487	[0.8816990701606087, 0.8803043110735418, 0.8800929839391378, 0.8801352493660186, 0.8816568047337278, 0.8815300084530854, 0.8757396449704142]
6027	7	20	0.00021	0.15	"(""19:50:39"", ""21:43:43"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7374894336432798	[0.9505071851225697, 0.9538884192730347, 0.9535502958579881, 0.9528740490278952, 0.9533389687235841, 0.9527049873203719, 0.950676246830093]
6028	7	20	0.00021	0.17	"(""19:50:42"", ""21:42:03"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.725781910397295	[0.9501690617075232, 0.951098901098901, 0.9496618765849535, 0.9509721048182587, 0.9512679628064243, 0.9505494505494505, 0.9481403212172443]
6029	7	20	0.00022	0.15	"(""20:06:42"", ""21:57:00"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7349957734573119	[0.9508453085376163, 0.9530008453085376, 0.9516906170752325, 0.952451394759087, 0.9527049873203719, 0.9521555367709214, 0.9507607776838546]
6030	7	20	0.00022	0.17	"(""20:07:46"", ""21:58:30"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7322062552831784	[0.9504649196956889, 0.952916314454776, 0.9515215553677092, 0.9513524936601859, 0.9516060862214708, 0.9511834319526628, 0.9478867286559595]
6031	7	20	0.00022999999999999998	0.15	"(""20:08:20"", ""21:59:23"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7393068469991547	[0.9526627218934911, 0.9552831783601015, 0.9527049873203719, 0.9530853761622993, 0.9530853761622993, 0.953592561284869, 0.9503381234150465]
6032	7	20	0.00022999999999999998	0.17	"(""20:10:47"", ""22:02:37"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7319103972950127	[0.9497464074387151, 0.9518596787827557, 0.9509721048182587, 0.952028740490279, 0.9522823330515638, 0.9518596787827557, 0.9488165680473373]
6033	7	20	0.00023999999999999998	0.15	"(""20:11:02"", ""22:02:40"")"	t-in_voc	t-out	512	8	3	3	transformer	128	0.7333474218089603	[0.9506339814032122, 0.9532544378698224, 0.9521978021978021, 0.9520710059171598, 0.9523668639053254, 0.9519864750633982, 0.951098901098901]
