job	seqlen	epochs	lrate	times	f_in	f_out	embsize	n_heads	n_enc	n_dec	network	complete	distinct
1547	7	32	0.000275	"(""16:10:55"", ""22:26:43"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7824119614400944	[0.9487912418557822, 0.9589056948768097, 0.959368598905232, 0.9604679959727349, 0.9601439631528393, 0.9600282371457337, 0.81614609251137]
1548	7	32	0.0002875	"(""16:11:11"", ""22:26:44"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7797734084780873	[0.9489185404635984, 0.9582576292370184, 0.9588362592725463, 0.9597967851315226, 0.9594496071102059, 0.9594496071102059, 0.8157641966879217]
1549	7	32	0.0003	"(""16:11:19"", ""22:26:35"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7752948120031015	[0.9470900695513302, 0.9568689171517515, 0.9581766210320445, 0.9590214208839153, 0.9590677112867575, 0.9585700894562035, 0.8153591556630522]
1791	7	32	1.25e-05	"(""10:27:26"", ""16:40:12"")"	t-in_voc	t-out	512	8	3	3	transformer	0.4999016328939603	[0.8849914941384778, 0.8906042054830983, 0.8907546492923355, 0.8907315040909144, 0.890581060281677, 0.8900487206489914, 0.7733506150837278]
1792	7	32	2.5e-05	"(""10:27:29"", ""16:49:48"")"	t-in_voc	t-out	512	8	3	3	transformer	0.6518730254250038	[0.9223247040307369, 0.9311430257721818, 0.9316175024013147, 0.9318605270162363, 0.932080406429737, 0.9314670585920773, 0.7978498107879783]
1793	7	32	3.75e-05	"(""10:27:29"", ""16:44:00"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7130110749788799	[0.9343602087697168, 0.9440464755644536, 0.9450764370276933, 0.9458402286745901, 0.9464535765122496, 0.9458749464767218, 0.8065061161194755]
1794	7	32	5e-05	"(""12:16:22"", ""18:38:19"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7474974250963419	[0.9416856650194998, 0.951753827637685, 0.9522977398710812, 0.9533277013343209, 0.9540452025783754, 0.9540914929812176, 0.812222980870491]
1795	7	32	6.25e-05	"(""12:16:22"", ""18:31:35"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7661408848410504	[0.9438844591545058, 0.9558852460913541, 0.9563828679219081, 0.9572045225723577, 0.9576095635972272, 0.9572971033780422, 0.8148615338324982]
1796	7	32	7.5e-05	"(""16:40:15"", ""22:54:18"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7738829547164134	[0.9457823656710372, 0.9571350869680944, 0.9578294430107278, 0.9589404126789414, 0.9589635578803625, 0.9585122264526507, 0.81593778569858]
1797	7	32	8.75e-05	"(""16:44:05"", ""22:59:24"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7814398629804076	[0.9482589022230966, 0.9591950098945736, 0.9595537605166009, 0.9605605767784194, 0.9607341657890778, 0.9602133987571027, 0.817118190971057]
1798	7	32	0.0003125	"(""16:49:51"", ""23:09:36"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7790790524354538	[0.9470322065477775, 0.9585122264526507, 0.9585006538519402, 0.9595421879158903, 0.9594033167073637, 0.9592644454988369, 0.8156947610836583]
1799	7	32	0.000325	"(""18:31:38"", ""00:48:05"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7773547349295807	[0.9477497077918321, 0.9576095635972272, 0.9586279524597563, 0.9592760180995475, 0.9594380345094953, 0.9588362592725463, 0.8163081089213179]
1800	7	32	0.0003375	"(""18:38:22"", ""00:56:27"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7775630417423708	[0.947333094166252, 0.957482264989411, 0.9588362592725463, 0.9591718646931525, 0.9589867030817836, 0.9590561386860469, 0.8154864542708683]
1801	7	32	0.00035	"(""22:29:17"", ""04:51:17"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7760238858478666	[0.9469164805406719, 0.9570077883602782, 0.9582229114348868, 0.9593454537038109, 0.9587783962689935, 0.9586742428625985, 0.8156484706808161]
1802	7	32	0.0003625	"(""22:29:18"", ""04:44:31"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7759313050421821	[0.9474603927740681, 0.9576442813993589, 0.958165048431334, 0.9591255742903103, 0.9585932346576246, 0.9584659360498085, 0.8161692377127912]
1803	7	32	0.000375	"(""22:54:21"", ""05:08:39"")"	t-in_voc	t-out	512	8	3	3	transformer	0.775410538010207	[0.9475066831769103, 0.9565911747346981, 0.9579220238164122, 0.9590677112867575, 0.9588594044739674, 0.9583386374419923, 0.8156368980801055]
1804	7	32	0.0003875	"(""22:59:27"", ""05:14:59"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7750633599888903	[0.9478075707953848, 0.9575054101908322, 0.9582344840355973, 0.9591024290888891, 0.9582344840355973, 0.9587552510675724, 0.8159030678964484]
1805	7	32	0.0004	"(""23:09:39"", ""05:31:43"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7732580342780433	[0.9468470449364086, 0.9566953281410931, 0.9572160951730683, 0.9585122264526507, 0.9583270648412818, 0.9574706923887005, 0.8147689530268137]
2303	7	32	0.0005	"(""12:40:14"", ""19:00:22"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7669278216893682	[0.9458633738760112, 0.9553760516600895, 0.9560241172998808, 0.957065651363831, 0.9567763363460671, 0.9568804897524621, 0.8146763722211292]
2304	7	32	0.0006	"(""12:40:14"", ""18:55:54"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7584335327678189	[0.9436067167374524, 0.9537790327620326, 0.9546469778153245, 0.9557810926849591, 0.9550751640416151, 0.95497101063522, 0.8120378192591221]
2305	7	32	0.0008	"(""18:55:57"", ""01:01:42"")"	t-in_voc	t-out	512	8	3	3	transformer	0.0	[0.019962736225712003, 0.00929279837057782, 0.011283285692793741, 0.008760458737892166, 0.0091886449641828, 0.006769971415676245, 0.006422793394359514]
2306	7	32	0.0012	"(""19:00:24"", ""00:23:40"")"	t-in_voc	t-out	512	8	3	3	transformer	0.0	[0.007360174051914687, 0.009998727013921838, 0.0035296432167200935, 0.01423429887398595, 0.0016664545023203064, 0.006538519401465092, 0.009778847600421242]
2307	7	32	0.002	"(""20:32:11"", ""03:10:24"")"	t-in_voc	t-out	512	8	3	3	transformer	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2308	7	32	0.0036	"(""20:32:11"", ""03:03:51"")"	t-in_voc	t-out	512	8	3	3	transformer	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2309	7	32	0.0068	"(""20:32:11"", ""03:07:43"")"	t-in_voc	t-out	512	8	3	3	transformer	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2310	7	32	0.013000000000000001	"(""20:32:10"", ""03:03:33"")"	t-in_voc	t-out	512	8	3	3	transformer	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2493	7	32	0.00042	"(""14:42:33"", ""21:03:49"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7738713821157028	[0.9470090613463563, 0.9566258925368298, 0.9576789992014906, 0.9582229114348868, 0.9586395250604668, 0.9579104512157017, 0.8156137528786844]
2494	7	32	0.00044	"(""14:42:36"", ""20:56:42"")"	t-in_voc	t-out	512	8	3	3	transformer	0.771985048199882	[0.9461526888937751, 0.9567647637453565, 0.9572971033780422, 0.9582113388341762, 0.9577252896043328, 0.9578294430107278, 0.8151971392531043]
2495	7	32	0.00047999999999999996	"(""14:42:36"", ""21:05:40"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7711518209487218	[0.9469859161449352, 0.9563712953211976, 0.9567879089467776, 0.9583502100427029, 0.9577947252085961, 0.9571119417666732, 0.8149425420374721]
2496	7	32	0.0005200000000000001	"(""14:42:37"", ""20:58:36"")"	t-in_voc	t-out	512	8	3	3	transformer	0.7659441506289708	[0.945134300031246, 0.9544849614053766, 0.9552487530522734, 0.9567300459432249, 0.956359722720487, 0.9558042378863802, 0.8139820161784957]
