epoch	t_loss	t_accy	v_loss	v_accy
1	3.369532828852416	0.11564135741578067	2.550037139071404	0.22265130974370317
2	2.395761452320072	0.2155091476872957	2.0734024534503552	0.2987537176942395
3	2.025183357333797	0.2833818690803945	1.7788464575239151	0.35653384972395996
4	1.7620496376286219	0.3327686009312008	1.545521617227838	0.40753095363148023
5	1.5413371037851233	0.3717168047356677	1.2556365796731577	0.46270978612744945
6	1.1619768314972732	0.44158165747166417	0.8286657227338806	0.5608691155740392
7	0.8736834245514	0.5011029683628372	0.5939725489483193	0.6185689800570485
8	0.7052385207448633	0.5373981233959606	0.45792555465063783	0.6506714538517161
9	0.58243413899454	0.5651204131817633	0.36380862228661826	0.6742590491865529
10	0.49059370758746956	0.5862039599258458	0.2930911731388428	0.6926738281080352
11	0.3870661909531111	0.6100024752295257	0.24034432770355282	0.705201751368745
12	0.3162700247119894	0.6257943336726641	0.21726400302383017	0.7110399811616946
13	0.27327724389153313	0.6356764259884556	0.21235098528222282	0.71251945959256
14	0.2403714116544665	0.6431692740762049	0.186610094668	0.7187269507390407
15	0.2148907931518583	0.6486418377976232	0.17709245394730036	0.7216052780213575
16	0.19539222818771274	0.6532001015725988	0.17226454607377417	0.7229750386799002
17	0.1767671608680449	0.6571882956298095	0.16335492046023664	0.72464281303888
18	0.1608104319378096	0.660794766060407	0.16435795210719956	0.7263528509146242
19	0.15128795702819212	0.6624756061568329	0.15732428851051092	0.7277798201402728
20	0.13833776802834116	0.6655339371001866	0.15626800299435673	0.7289364802148353
21	0.12893337652045886	0.6678315618490862	0.15388424817223492	0.7295026781499534
22	0.12105524886795062	0.6694101105556719	0.15636622978393075	0.7298006356375328
23	0.11336099664590626	0.6712077021011533	0.15284090676828507	0.7308322828914582
24	0.10674248524925269	0.6727590900933271	0.15077873197067196	0.7317353871762128
25	0.09849744428409686	0.6746591410512027	0.15179603830385197	0.7324549676632326
26	0.09515277407369717	0.6752588046678443	0.15164851736486382	0.7329614343563708
27	0.08893214251326542	0.6767419378715588	0.15255121222001844	0.734014303954539
28	0.08518319841911175	0.6777155636977222	0.15423274502300569	0.7332631255826145
29	0.08150395235377357	0.6785327867949081	0.1539885337096866	0.7332842830399341
30	0.07730237409994951	0.6795654819482901	0.15931218111998485	0.7333733845547106
31	0.07362263213781117	0.6803434872638481	0.15763217372159344	0.7341122949759011
32	0.0700599421797211	0.6810858403824057	0.15407832626493442	0.7345399108438981
33	0.06734098299596866	0.6820228811341971	0.1587460188998863	0.7344673159808693
34	0.06418131344225524	0.6827406638826845	0.15705345638408524	0.7352977249636149
35	0.0625828491352652	0.6829985922896671	0.15716225101985173	0.7354607450266281
36	0.05965611082095824	0.6839116385863567	0.16024974697077576	0.7347975336693116
37	0.06019530504670366	0.6837272712137179	0.1618641636310854	0.7353935384596099
38	0.05619585996924674	0.6847088012678882	0.16390148189335996	0.735144836856232
39	0.05395246460286992	0.6851702339380433	0.16201824637728268	0.7356018068444204
40	0.05298540982596352	0.6854000625595689	0.16581729483484667	0.7364285402011922
41	0.05092668886371724	0.6859899107894262	0.16313090755224696	0.7364412885819459
42	0.04975617660295142	0.686112606531269	0.1708069228291278	0.7353219977295651
43	0.04777919523869589	0.6867855441829636	0.167684655743351	0.7366384804267888
44	0.04732799956430393	0.6869353434779562	0.16552411309354184	0.7365123162951297
45	0.04465934310902483	0.6874488307279639	0.16953629808291826	0.7367676910981394
46	0.04356685906933493	0.6876866866000922	0.1686404313809058	0.7366071030050377
47	0.04197692848474862	0.6880309758733155	0.17191098697978296	0.7367569895713202
48	0.04129068525478527	0.688289965384037	0.17181095826519205	0.7370001022633795
